serie,retorno_total_%,multiplo,cagr_%,max_dd_%,final_10k_usd
VOO precio (sin div.),259.681,3.597,13.658,-34.301,35968.110
VOO TR (0% impuesto),322.423,4.224,15.500,-33.993,42242.342
VOO TR (30% retención no-residente),300.096,4.001,14.875,-34.105,40009.616
CSPX acumulativo,307.085,4.071,15.074,-33.905,40708.525
Portafolio buy&hold,623.115,7.231,21.880,-33.018,72311.476
Portafolio rebalance anual,470.100,5.701,19.016,-31.218,57009.977
SPYG,424.316,5.243,18.024,-32.666,52431.596
SMH,1839.734,19.397,34.522,-45.303,193973.443
BRK-B,242.763,3.428,13.111,-29.570,34276.252
IEMG,138.522,2.385,9.083,-38.707,23852.165
VTI,301.630,4.016,14.919,-35.000,40162.966
